,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
10715,TUN-0,54.5955522,342.85714286,100.511546,0.05712715685206144,3.8265950721435087,0.0021748993582851087,1.7567621258601818
10716,TUN-0,54.5955522,400.0,75.14515899999999,0.4973548682560641,2.860866304104411,0.01893489617576093,1.7567621258601818
10717,TUN-0,148.40433190000005,200.0,163.431318,0.044079622525614856,6.222026234605115,0.0016781640821487227,1.7567621258601818
10718,TUN-0,148.40433190000005,218.18181818,159.56855349999998,0.05839499931072839,6.074966158536334,0.00222316764086211,1.7567621258601818
10719,TUN-0,148.40433190000005,240.0,154.136009,0.011889293418848076,5.86814267566104,0.00045263965602256376,1.7567621258601818
10720,TUN-0,148.40433190000005,266.66666667,146.04502549999998,0.3778601861965392,5.5601092325191495,0.014385590352563631,1.7567621258601818
10721,TUN-0,148.40433190000005,300.0,135.015349,0.07226631303726254,5.140196223298924,0.002751265186493444,1.7567621258601818
10722,TUN-0,148.40433190000005,342.85714286,120.347345,0.2913011237911793,4.58176772370564,0.011090183060254043,1.7567621258601818
10723,TUN-0,148.40433190000005,400.0,101.0165015,0.06372517022730524,3.8458193334831146,0.0024260936386682253,1.7567621258601818
10724,TUN-0,403.4,200.0,166.8021215,0.04442822616873391,6.350356765530031,0.0016914358408261774,1.7567621258601818
10725,TUN-0,403.4,218.18181818,163.9690765,0.19429243737343985,6.242499345486357,0.007396946052426514,1.7567621258601818
10726,TUN-0,403.4,240.0,160.024868,0.13422442341838745,6.0923385986841305,0.005110084738066364,1.7567621258601818
10727,TUN-0,403.4,266.66666667,154.681755,0.010039502079291893,5.888919880244501,0.00038221588177924287,1.7567621258601818
10728,TUN-0,403.4,300.0,146.7985735,0.09807924608449127,5.588797708402543,0.0037339944979697076,1.7567621258601818
10729,TUN-0,403.4,342.85714286,136.312217,0.347516112895512,5.189569543036943,0.01323035509867062,1.7567621258601818
10730,TUN-0,403.4,400.0,122.56923049999999,0.2908068561511369,4.666357568788385,0.011071365698558109,1.7567621258601818
10731,UEI-0,1.0,200.0,92.369135,0.010656099192472264,4.649600144178342,0.0005363977950179169,1.7420731937703404
